Experiment,Year,Location,Range,Row,Plot,Rep,Nitrogen,Weed_Pressure,Pedigree,Hybrid,Stand_Count,Planting_Date,Harvest_Date,FDT,RTA,PHT,EHT,SDL,SDS,YIELD,PROT,OIL,STA
OREI_Replicated_Exp,2018,Pana,10,17,21205,2,N3,WMINUS,PHHB9*Q381,UIUC5,22,5/25/2018,10/15/2018,1.833333333,70.54833333,240,112,22.878,20.218,158.9823094,8.7,3.7,71.5
OREI_Replicated_Exp,2018,Pana,10,21,21207,2,N3,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.87,80.33833333,240,103,19.952,18.064,173.2081911,7.4,3.5,72.8
OREI_Replicated_Exp,2018,Pana,10,25,21202,2,N3,WMINUS,PHHB9*PHR63,UIUC2,27,5/25/2018,10/15/2018,1.903333333,64.70583333,250,130,24.278,21.902,175.76499,7.8,3.5,72.3
OREI_Replicated_Exp,2018,Pana,10,29,21203,2,N3,WMINUS,PHHB9*PHW30,UIUC3,31,5/25/2018,10/15/2018,1.873333333,84.62833333,256,105,22.952,20.862,169.8438225,8.5,3.5,71.9
OREI_Replicated_Exp,2018,Pana,8,37,21104,2,N2,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.853333333,95.41916667,257,138,24.082,22.202,167.1147849,8,3.3,72.4
OREI_Replicated_Exp,2018,Pana,10,37,21208,2,N3,WMINUS,PHW52*Q381,UIUC8,30,5/25/2018,10/15/2018,1.876666667,86.12666667,222,94,21.632,19.08,145.7214383,9.3,4,70.7
OREI_Replicated_Exp,2018,Pana,10,41,21209,2,N3,WMINUS,461.2B24,ORG2,28,5/25/2018,10/15/2018,.,.,232,105,23.064,20.94,149.8291434,10.3,4.3,68.9
OREI_Replicated_Exp,2018,Pana,11,5,22305,2,N1,WPLUS,PHHB9*Q381,UIUC5,19,5/25/2018,10/15/2018,1.903333333,55.96416667,218,88,24.72,22.32,.,.,.,.
OREI_Replicated_Exp,2018,Pana,11,9,22307,2,N1,WPLUS,PHW52*LH185,UIUC7,29,5/25/2018,10/15/2018,1.896666667,80.22,235,107,21.46,19.47,181.3698803,7.2,3.4,72.9
OREI_Replicated_Exp,2018,Pana,11,13,22308,2,N1,WPLUS,PHW52*Q381,UIUC8,27,5/25/2018,10/15/2018,1.88,72.08125,234,85,19.762,17.844,118.2206183,8.1,3.8,71.9
OREI_Replicated_Exp,2018,Pana,9,33,22204,2,N3,WPLUS,PHHB9*PHZ51,UIUC4,24,5/25/2018,10/15/2018,1.906666667,69.55583333,252,105,23.498,22.192,166.3534214,8.1,3.4,72.1
OREI_Replicated_Exp,2018,Pana,11,21,22302,2,N1,WPLUS,PHHB9*PHR63,UIUC2,23,5/25/2018,10/15/2018,1.903333333,67.75333333,234,108,20.742,18.52,146.8525492,7.4,3.5,72.7
OREI_Replicated_Exp,2018,Pana,11,25,22301,2,N1,WPLUS,PHHB9*PHM49,UIUC1,24,5/25/2018,10/15/2018,1.893333333,81.22416667,215,100,20.784,19.678,128.5846356,7.1,3.4,73
OREI_Replicated_Exp,2018,Pana,11,29,22310,2,N1,WPLUS,17.461,ORG1,27,5/25/2018,10/15/2018,1.93,59.29083333,220,124,19.078,16.544,145.1582605,8.5,4.9,69.5
OREI_Replicated_Exp,2018,Pana,11,33,22306,2,N1,WPLUS,PHP38*Q381,UIUC6,28,5/25/2018,10/15/2018,1.923333333,74.09166667,220,100,19.578,18.234,117.4415567,8,3.5,72.2
OREI_Replicated_Exp,2018,Pana,11,37,22309,2,N1,WPLUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.896666667,77.47,245,127,20.666,18.656,133.0670611,9.8,4.3,69.4
OREI_Replicated_Exp,2018,Pana,11,41,22303,2,N1,WPLUS,PHHB9*PHW30,UIUC3,32,5/25/2018,10/15/2018,1.896666667,93.67916667,260,115,21.962,19.818,158.8874538,8,3.5,72.2
OREI_Replicated_Exp,2018,Pana,12,5,21305,2,N1,WMINUS,PHHB9*Q381,UIUC5,6,5/25/2018,10/15/2018,1.82,70.00166667,205,85,22.482,19.456,.,.,.,.
OREI_Replicated_Exp,2018,Pana,12,9,21307,2,N1,WMINUS,PHW52*LH185,UIUC7,27,5/25/2018,10/15/2018,1.906666667,73.75083333,235,96,20.5,18.042,138.8797364,7,3.4,73
OREI_Replicated_Exp,2018,Pana,12,13,21308,2,N1,WMINUS,PHW52*Q381,UIUC8,25,5/25/2018,10/15/2018,1.89,62.50166667,234,88,20.626,18.778,126.4180728,7.9,3.8,72.2
OREI_Replicated_Exp,2018,Pana,10,33,21204,2,N3,WMINUS,PHHB9*PHZ51,UIUC4,25,5/25/2018,10/15/2018,1.873333333,74.28416667,245,100,21.768,20.25,147.7610613,8.5,3.4,72
OREI_Replicated_Exp,2018,Pana,12,21,21302,2,N1,WMINUS,PHHB9*PHR63,UIUC2,29,5/25/2018,10/15/2018,1.93,62.7525,223,95,21.536,19.32,130.7507092,7.2,3.4,72.9
OREI_Replicated_Exp,2018,Pana,12,25,21301,2,N1,WMINUS,PHHB9*PHM49,UIUC1,27,5/25/2018,10/15/2018,1.903333333,84.61666667,220,88,22.07,20.214,.,.,.,.
OREI_Replicated_Exp,2018,Pana,12,29,21310,2,N1,WMINUS,17.461,ORG1,31,5/25/2018,10/15/2018,1.92,64.165,240,133,19.556,17.436,166.6107705,8.7,4.7,69.6
OREI_Replicated_Exp,2018,Pana,12,33,21306,2,N1,WMINUS,PHP38*Q381,UIUC6,29,5/25/2018,10/15/2018,1.92,59.99083333,222,82,20.268,18.304,139.6343725,8.5,3.9,71.5
OREI_Replicated_Exp,2018,Pana,12,37,21309,2,N1,WMINUS,461.2B24,ORG2,26,5/25/2018,10/15/2018,1.876666667,102.0933333,230,115,21.024,18.344,125.5985519,9.4,4.6,69.4
OREI_Replicated_Exp,2018,Pana,12,41,21303,2,N1,WMINUS,PHHB9*PHW30,UIUC3,29,5/25/2018,10/15/2018,1.903333333,75.37833333,250,110,23.794,20.884,168.0894325,8.3,3.4,72.2
OREI_Replicated_Exp,2018,Pana,13,5,31307,3,N1,WMINUS,PHW52*LH185,UIUC7,19,5/25/2018,10/15/2018,1.873333333,72.1975,215,90,21.172,19.286,171.3921902,8.1,3.4,72.2
OREI_Replicated_Exp,2018,Pana,13,9,31306,3,N1,WMINUS,PHP38*Q381,UIUC6,25,5/25/2018,10/15/2018,1.926666667,74.0425,230,105,22.36,20.052,140.1332797,8.3,3.5,72
OREI_Replicated_Exp,2018,Pana,13,13,31310,3,N1,WMINUS,17.461,ORG1,33,5/25/2018,10/15/2018,1.926666667,52.65416667,237,120,20.774,18.546,153.2110594,9.1,4.6,69.4
OREI_Replicated_Exp,2018,Pana,13,17,31302,3,N1,WMINUS,PHHB9*PHR63,UIUC2,26,5/25/2018,10/15/2018,1.93,92.26583333,237,116,23.88,21.206,151.3149356,7.4,3.5,72.6
OREI_Replicated_Exp,2018,Pana,13,21,31301,3,N1,WMINUS,PHHB9*PHM49,UIUC1,23,5/25/2018,10/15/2018,1.906666667,79.74083333,234,115,22.464,20.692,144.4970414,7.8,3.3,72.7
OREI_Replicated_Exp,2018,Pana,13,25,31303,3,N1,WMINUS,PHHB9*PHW30,UIUC3,28,5/25/2018,10/15/2018,1.9,67.9375,250,97,23.432,21.282,.,.,.,.
